x;alpha
0.305283757;0.000187643
0.307240705;0.000160977
0.309197652;0.000108316
0.311154599;5.789E-05
0.313111546;2.64754E-05
0.315068493;1.68188E-05
0.31702544;2.79581E-05
0.318982387;6.04595E-05
0.320939335;0.000110256
0.322896282;0.0001612
0.324853229;0.000192164
0.326810176;0.000197908
0.328767123;0.00019944
0.33072407;0.000225496
0.332681018;0.000280754
0.334637965;0.000334998
0.336594912;0.000347277
0.338551859;0.000303094
0.340508806;0.000228769
0.342465753;0.000170294
0.344422701;0.000159218
0.346379648;0.000198543
0.348336595;0.000280211
0.350293542;0.000414545
0.352250489;0.000634215
0.354207436;0.000952334
0.356164384;0.001309552
0.358121331;0.00158198
0.360078278;0.001668334
0.362035225;0.001572224
0.363992172;0.001385828
0.365949119;0.001197972
0.367906067;0.001039079
0.369863014;0.000914832
0.371819961;0.000861796
0.373776908;0.000925131
0.375733855;0.001105897
0.377690802;0.001342012
0.37964775;0.001543346
0.381604697;0.001643518
0.383561644;0.001630229
0.385518591;0.001538243
0.387475538;0.001417886
0.389432485;0.001314098
0.391389432;0.001272816
0.39334638;0.00134339
0.395303327;0.001544574
0.397260274;0.001824302
0.399217221;0.002076962
0.401174168;0.002224447
0.403131115;0.002285459
0.405088063;0.002357608
0.40704501;0.002525417
0.409001957;0.002787349
0.410958904;0.003081401
0.412915851;0.003385434
0.414872798;0.003770193
0.416829746;0.004320113
0.418786693;0.00500743
0.42074364;0.005688981
0.422700587;0.006241918
0.424657534;0.006671324
0.426614481;0.007073152
0.428571429;0.007520588
0.430528376;0.008006779
0.432485323;0.008490182
0.43444227;0.008972618
0.436399217;0.009506325
0.438356164;0.010115395
0.440313112;0.01077076
0.442270059;0.011452951
0.444227006;0.01219372
0.446183953;0.013045924
0.4481409;0.014016974
0.450097847;0.015015285
0.452054795;0.01586399
0.454011742;0.016415966
0.455968689;0.016699356
0.457925636;0.016930943
0.459882583;0.017347666
0.46183953;0.01804652
0.463796477;0.019024051
0.465753425;0.020322438
0.467710372;0.022051442
0.469667319;0.02427174
0.471624266;0.026923202
0.473581213;0.029855242
0.47553816;0.032848671
0.477495108;0.035627766
0.479452055;0.037987137
0.481409002;0.039970541
0.483365949;0.041834548
0.485322896;0.043761688
0.487279843;0.045711153
0.489236791;0.047703239
0.491193738;0.050166263
0.493150685;0.05369346
0.495107632;0.058317918
0.497064579;0.063276313
0.499021526;0.067754398
0.500978474;0.071723101
0.502935421;0.075806924
0.504892368;0.080423302
0.506849315;0.085518348
0.508806262;0.090827028
0.510763209;0.096051026
0.512720157;0.100951541
0.514677104;0.10561417
0.516634051;0.110655665
0.518590998;0.116933331
0.520547945;0.124914116
0.522504892;0.134410293
0.52446184;0.144971718
0.526418787;0.156322538
0.528375734;0.168231238
0.530332681;0.180213071
0.532289628;0.191806683
0.534246575;0.20315134
0.536203523;0.21496048
0.53816047;0.227897337
0.540117417;0.242255896
0.542074364;0.258254874
0.544031311;0.276252921
0.545988258;0.29636901
0.547945205;0.317952564
0.549902153;0.339730419
0.5518591;0.360756706
0.553816047;0.381225613
0.555772994;0.402182598
0.557729941;0.424522131
0.559686888;0.448512502
0.561643836;0.474111492
0.563600783;0.501262835
0.56555773;0.529812869
0.567514677;0.559401972
0.569471624;0.589703727
0.571428571;0.620946301
0.573385519;0.653853801
0.575342466;0.688999873
0.577299413;0.726420477
