x;phi
0.352250489;0.148293087
0.354207436;0.153731887
0.356164384;0.159309433
0.358121331;0.165026344
0.360078278;0.17087195
0.362035225;0.176828895
0.363992172;0.182883607
0.365949119;0.189040308
0.367906067;0.195334229
0.369863014;0.201838734
0.371819961;0.208661647
0.373776908;0.215952969
0.375733855;0.223826197
0.377690802;0.232325197
0.37964775;0.241433133
0.381604697;0.251056588
0.383561644;0.261041319
0.385518591;0.271203443
0.387475538;0.281367164
0.389432485;0.291398405
0.391389432;0.301225624
0.39334638;0.310843839
0.395303327;0.320303648
0.397260274;0.329691598
0.399217221;0.339109939
0.401174168;0.348662195
0.403131115;0.358446825
0.405088063;0.368566592
0.40704501;0.379126243
0.409001957;0.390184857
0.410958904;0.401796498
0.412915851;0.413987039
0.414872798;0.426751601
0.416829746;0.440058763
0.418786693;0.453859139
0.42074364;0.468093646
0.422700587;0.482697329
0.424657534;0.497597806
0.426614481;0.512711625
0.428571429;0.527944892
0.430528376;0.543204378
0.432485323;0.558421352
0.43444227;0.573583548
0.436399217;0.58876452
0.438356164;0.60416421
0.440313112;0.620029376
0.442270059;0.636605893
0.444227006;0.654066854
0.446183953;0.672457089
0.4481409;0.691672503
0.450097847;0.711482148
0.452054795;0.731586358
0.454011742;0.751692228
0.455968689;0.771582627
0.457925636;0.791158319
0.459882583;0.810443018
0.46183953;0.829554427
0.463796477;0.848655396
0.465753425;0.867904296
0.467710372;0.887420952
0.469667319;0.907295922
0.471624266;0.927546639
0.473581213;0.948178059
0.47553816;0.969201061
0.477495108;0.990632222
0.479452055;1.012489923
0.481409002;1.034785413
0.483365949;1.057513712
0.485322896;1.080648611
0.487279843;1.10414419
0.489236791;1.127942759
0.491193738;1.151986546
0.493150685;1.176228786
0.495107632;1.200639917
0.497064579;1.225206586
0.499021526;1.24992447
0.500978474;1.274793438
0.502935421;1.299798613
0.504892368;1.324911238
0.506849315;1.350101237
0.508806262;1.375335947
0.510763209;1.400584696
0.512720157;1.425825324
0.514677104;1.45105305
0.516634051;1.476289424
0.518590998;1.501586746
0.520547945;1.527023543
0.522504892;1.552690183
0.52446184;1.578668905
0.526418787;1.605016662
0.528375734;1.631759335
0.530332681;1.658901056
0.532289628;1.68645108
0.534246575;1.714451274
0.536203523;1.742926172
0.53816047;1.771917797
0.540117417;1.801422959
0.542074364;1.831350783
0.544031311;1.86149454
0.545988258;1.891531131
0.547945205;1.921055016
0.549902153;1.949644415
