study,sref,treatment,mid,hid,ts,tid,uid,investment,ttype,netsales,longs,shorts,numshares,mprice,price
1,(36),m2,63,1,2016nov10 22:26:48.666,53258,790,7.0900002,-1,-74.0149,578.85535,-652.87036,-10.657919,-.66523308,.32297155
1,(36),m2,63,1,2016nov10 22:27:23.550,53262,790,4,-1,-79.868134,578.85535,-658.72363,-5.8532343,-.68338287,.31030768
1,(36),m2,63,1,2016nov10 22:36:24.309,53281,790,4,-1,-85.61692,578.85535,-664.47241,-5.7487864,-.69579905,.29814032
1,(36),m2,63,1,2016nov10 22:42:00.239,53283,817,15.85,-1,-107.50716,578.85535,-686.36261,-21.890242,-.72406697,.25443977
1,(36),m2,63,1,2016nov10 22:59:28.185,53290,734,30,1,-21.006744,665.35577,-686.36261,86.50042,.34681913,.44767541
1,(36),m2,63,1,2016nov10 23:08:59.862,53295,790,5,-1,-29.883614,665.35577,-695.2395,-8.8768692,-.56326163,.42584202
1,(36),m2,63,1,2016nov10 23:11:42.243,53298,790,1,-1,-31.618889,665.35577,-696.97479,-1.7352756,-.57627732,.42160481
1,(36),m2,63,1,2016nov10 23:12:13.365,53300,790,.17,-1,-31.912624,665.35577,-697.26849,-.29373616,-.57875067,.42088869
1,(36),m2,63,1,2016nov10 23:12:39.885,53302,790,8,-1,-45.349869,665.35577,-710.70575,-13.437245,-.5953601,.38852924
1,(36),m2,63,1,2016nov10 23:13:45.748,53304,790,1.14,-1,-47.207531,665.35577,-712.56342,-1.8576632,-.61367422,.38412517
1,(36),m2,63,1,2016nov10 23:18:40.385,53312,724,4,-1,-53.623695,665.35577,-718.97961,-6.416163,-.62342554,.36906341
1,(36),m2,63,1,2016nov10 23:24:39.310,53333,741,-6,-1,-70.796585,648.18329,-718.97961,-17.172894,-.34938782,.33004847
1,(36),m2,63,1,2016nov11 01:14:24.460,53366,790,1.4400001,-1,-72.938446,648.18329,-721.12146,-2.1418571,-.67231375,.32532981
1,(36),m2,63,1,2016nov11 01:33:52.198,53375,790,.31999999,-1,-73.412392,648.18329,-721.5954,-.47394279,-.67518699,.32429039
1,(36),m2,63,1,2016nov11 02:02:38.525,53377,733,5,-1,-80.726044,648.18329,-728.90906,-7.3136559,-.68365264,.30847457
1,(36),m2,63,1,2016nov11 02:13:21.339,53378,757,-.94,1,-79.363861,648.18329,-727.54645,1.3621789,.69007087,.31138793
1,(36),m2,63,1,2016nov11 02:13:28.858,53379,757,.94,-1,-80.726036,648.18329,-728.90863,-1.3621782,-.69007123,.3084746
1,(36),m2,63,1,2016nov11 03:59:55.139,53400,744,11,-1,-96.267929,648.18329,-744.4505,-15.541889,-.70776469,.27634209
1,(36),m2,63,1,2016nov11 04:10:22.400,53401,799,4,1,-82.493492,661.9577,-744.4505,13.774435,.29039302,.30471712
1,(36),m2,63,1,2016nov11 04:11:20.369,53403,790,4.3400002,-1,-88.677757,661.9577,-750.63477,-6.1842661,-.70178097,.29177526
1,(36),m2,63,1,2016nov11 04:13:20.520,53408,790,-3.9300001,1,-83.082649,661.9577,-745.03998,5.595108,.70239931,.30347034
1,(36),m2,63,1,2016nov11 04:17:36.735,53418,795,20,-1,-110.68399,661.9577,-772.6413,-27.601343,-.7246024,.2484605
1,(36),m2,63,1,2016nov11 04:20:25.776,53430,790,5,-1,-117.28349,661.9577,-779.24078,-6.599504,-.75763267,.23634295
1,(36),m2,63,1,2016nov11 04:26:15.809,53452,790,.039999999,-1,-117.33586,661.9577,-779.29321,-.052370567,-.76378781,.23624845
1,(36),m2,63,1,2016nov11 05:05:33.609,53454,824,25,-1,-148.95421,661.9577,-810.9115,-31.618343,-.79068029,.18399046
1,(36),m2,63,1,2016nov11 05:54:31.635,53461,790,-4.7199998,1,-143.13847,661.9577,-805.09564,5.8157392,.81159067,.19288303
1,(36),m2,63,1,2016nov11 07:48:12.970,53488,776,-5,1,-136.90564,661.9577,-798.86237,6.2328391,.80220264,.20277235
1,(36),m2,63,1,2016nov11 07:57:45.381,53493,790,1,-1,-138.1584,661.9577,-800.11511,-1.2527543,-.79824108,.20075472
1,(36),m2,63,1,2016nov11 09:56:15.627,53506,788,30,-1,-174.46541,661.9577,-836.42212,-36.307003,-.82628685,.14872275
1,(36),m2,63,1,2016nov11 10:34:24.693,53508,776,-5,1,-168.56564,661.9577,-830.52209,5.8997722,.84749037,.15634792
1,(36),m2,63,1,2016nov11 10:40:44.210,53514,776,-5,1,-162.61093,661.9577,-824.56714,5.9547133,.83967096,.16436404
1,(36),m2,63,1,2016nov11 12:14:26.356,53523,776,-5,1,-156.59735,661.9577,-818.5531,6.0135832,.83145106,.17279115
1,(36),m2,63,1,2016nov11 12:44:02.884,53537,776,-5,1,-150.5206,661.9577,-812.47614,6.0767493,.82280833,.18165036
1,(36),m2,63,1,2016nov11 14:57:46.073,53541,821,10,1,-104.84304,707.63525,-812.47614,45.677559,.21892588,.25952661
1,(36),m2,63,1,2016nov11 17:25:48.666,53548,785,10,1,-70.822136,741.65619,-812.47614,34.020905,.29393691,.32999197
1,(36),m2,63,1,2016nov11 20:44:14.321,53569,794,10,-1,-85.402557,741.65619,-827.05652,-14.580422,-.68585116,.29858908
1,(36),m2,63,1,2016nov11 21:21:56.211,53575,790,15,-1,-106.16304,741.65619,-847.81702,-20.760487,-.72252643,.256998
1,(36),m2,63,1,2016nov11 21:25:39.307,53579,790,5,-1,-112.8359,741.65619,-854.48987,-6.6728582,-.74930412,.24446407
1,(36),m2,63,1,2016nov11 21:27:14.389,53584,790,-5,1,-106.16303,741.65619,-847.81677,6.6728654,.74930328,.256998
1,(36),m2,63,1,2016nov11 21:30:40.699,53586,790,-4.48,1,-100.08552,741.65619,-841.73877,6.077517,.73714316,.26877332
1,(36),m2,63,1,2016nov11 21:46:19.975,53594,735,6,1,-79.378448,762.36322,-841.73877,20.707066,.28975618,.31135663
1,(36),m2,63,1,2016nov11 21:46:46.277,53595,735,-6,-1,-100.08552,741.65619,-841.73877,-20.707069,-.28975612,.26877332
1,(36),m2,63,1,2016nov11 22:25:36.246,53598,776,7.0300002,-1,-109.58015,741.65619,-851.2334,-9.494627,-.74041879,.25052741
1,(36),m2,63,1,2016nov11 22:47:21.264,53601,790,-5,1,-102.85144,741.65619,-844.50439,6.728703,.74308527,.26337221
1,(36),m2,63,1,2016nov11 22:48:09.733,53603,790,-3.4300001,1,-98.165962,741.65619,-839.8194,4.6854792,.73204893,.27256259
1,(36),m2,63,1,2016nov12 01:53:15.570,53606,850,1,-1,-99.538094,741.65619,-841.19153,-1.3721311,-.72879332,.26985055
1,(36),m2,63,1,2016nov12 01:58:40.956,53607,850,6,-1,-107.66754,741.65619,-849.32098,-8.129447,-.73805761,.25413567
1,(36),m2,63,1,2016nov13 13:06:22.380,53612,755,3.72,-1,-112.62408,741.65619,-854.27753,-4.9565396,-.75052363,.24485551
1,(36),m2,63,1,2016nov14 00:49:24.221,53625,760,10,1,-76.890045,777.3902,-854.27753,35.734039,.27984521,.316717
1,(36),m2,63,1,2016nov14 03:08:34.620,53641,730,15,-1,-98.146667,777.3902,-875.53418,-21.256626,-.70566231,.27260086
1,(36),m2,63,1,2016nov14 17:16:20.400,53650,820,1,1,-94.52623,781.01062,-875.53418,3.6204364,.2762098,.27983859
1,(36),m2,63,1,2016nov14 22:35:35.057,53669,733,5,-1,-101.40361,781.01062,-882.41156,-6.8773832,-.72702068,.26619074
1,(36),m2,63,1,2016nov15 00:23:24.517,53677,726,5,-1,-108.1573,781.01062,-889.16522,-6.7536902,-.740336,.25320846
1,(36),m2,63,1,2016nov15 01:21:08.060,53693,738,15,-1,-127.77203,781.01062,-908.77997,-19.614723,-.76473165,.21793854
1,(36),m2,63,1,2016nov15 02:05:12.447,53705,790,-4.5300002,1,-121.9422,781.01062,-902.94995,5.8298297,.77703816,.22803819
1,(36),m2,63,1,2016nov15 02:06:13.069,53708,790,-4,1,-116.72932,781.01062,-897.73694,5.2128806,.76733005,.23734461
1,(36),m2,63,1,2016nov15 02:14:54.031,53711,790,-3,1,-112.77703,781.01062,-893.78497,3.9522874,.75905412,.24457282
1,(36),m2,63,1,2016nov15 03:33:54.287,53716,772,20,-1,-138.47995,781.01062,-919.48785,-25.702917,-.77812177,.20023929
1,(36),m2,63,1,2016nov15 06:39:02.299,53723,811,15,1,-79.246521,840.24408,-919.48785,59.233425,.2532354,.31163958
1,(36),m2,63,1,2016nov15 07:05:01.347,53729,846,15,-1,-100.3618,840.24408,-940.60315,-21.115278,-.7103861,.26823068
1,(36),m2,63,1,2016nov15 11:16:27.951,53753,833,10,-1,-113.79053,840.24408,-954.03186,-13.428733,-.74467188,.24270515
1,(36),m2,63,1,2016nov15 11:26:56.191,53766,833,20,-1,-139.43755,840.24408,-979.67889,-25.647005,-.77981818,.19871016
1,(36),m2,63,1,2016nov15 11:59:58.170,53768,776,-5,1,-133.15793,840.24408,-973.39923,6.2796149,.79622716,.20889825
1,(36),m2,63,1,2016nov15 12:30:12.325,53774,775,7,1,-103.36266,870.03937,-973.39923,29.795267,.23493664,.26238161
1,(36),m2,63,1,2016nov15 15:21:29.386,53791,745,10,-1,-116.6917,870.03937,-986.72827,-13.329043,-.7502414,.23741269
1,(36),m2,63,1,2016nov15 18:16:42.648,53815,805,40,1,-4.4717712,982.25928,-986.72827,112.21993,.35644293,.48882243
1,(36),m2,63,1,2016nov15 18:53:15.898,53819,794,1,-1,-6.4187751,982.25928,-988.67529,-1.9470038,-.51360965,.48395857
1,(36),m2,63,1,2016nov15 21:50:54.066,53837,790,19,-1,-40.457367,982.25928,-1022.7139,-34.038593,-.55818993,.40021396
1,(36),m2,63,1,2016nov15 21:51:27.793,53839,790,14,-1,-62.815369,982.25928,-1045.0719,-22.358002,-.62617403,.3479293
1,(36),m2,63,1,2016nov15 21:52:23.766,53842,790,6,-1,-71.875374,982.25928,-1054.132,-9.0600052,-.66225129,.32766747
